observation_frame,unscaled_time,frame_timing_timestamp,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
2020,82.364744104308386,19037555644309,4.7929990105330944,4.6359,4.994048,1.7835,14475,0.001024,,,,0.083968,0,0.065536,0.0076799999999999993,,,,,1.112576
2021,82.369622002551012,19037555690668,4.8778983764350414,4.5758,4.772096,2.0316,14475,0.001024,,,,0.083968,0,0.065536,0.0076799999999999993,,,,,1.112576
2022,82.374185700113372,19037555736426,4.56369761377573,5.7765,4.85248,2.1308,20404,0.001024,,,,0.08524799999999999,0,0.06656,0.0097279999999999988,,,,,1.2802559999999998
2023,82.379124900793641,19037555794191,4.9392008222639561,4.1527,4.51712,2.0465,14475,0.001024,,,,0.08524799999999999,0,0.067071999999999993,0.0084479999999999989,,,,,1.3506559999999999
2024,82.385585303287982,19037555835718,6.4604026265442371,5.2833,4.91776,2.5123,162097,0.001024,,,,0.086784,0,0.068352,0.008704,,,,,1.4945279999999999
2025,82.397983900226748,19037555888551,12.398596853017807,4.6098,4.870656,2.2844,166442,0.001024,,,,0.0832,0,0.065024,0.0076799999999999993,,,,,1.35936
2026,82.409950503117912,19037555934649,11.966602876782417,4.4495,4.715776,1.0316,157569,0.0012799999999999999,,,,0.086272,0,0.067071999999999993,0.007424,,,,,1.7569279999999998
2027,82.42970449971655,19037555979144,19.753996282815933,11.5145,0.045056,1.1476,231631,0.001024,,,,0.086272,0,0.068352,0.003072,,,,,1.371136
2028,82.444307100340126,19037556094289,14.60260059684515,11.7656,0.045824,1.2168,156722,0.001024,,,,0.086272,0,0.068352,0.003072,,,,,1.371136
2029,82.453526799886617,19037556211945,9.219699539244175,15.6652,0.045312,1.308,14475,0.001024,,,,0.083968,0.000256,0.066048,0.011007999999999999,,,,,1.112576
2030,82.458702600623582,19037556368597,5.1758005283772945,18.5459,0.046848,1.3252,14475,0.001024,,,,0.088832,0.000256,0.07039999999999999,0.0076799999999999993,,,,,1.670656
2031,82.463884601757371,19037556554056,5.1820012740790844,13.4015,0.046592,1.9057,14475,0.001024,,,,0.08576,0,0.068352,0.007424,,,,,1.1133439999999999
