case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"2K_Hard","completed","frame_interval_ms",1170,1170,5.2603492513298988,17.100304365158081,4.0154973976314068,311.28278374671936
0,"2K_Hard","completed","cpu_frame_ms",1170,0,,,,
0,"2K_Hard","completed","gpu_frame_ms",1170,0,,,,
0,"2K_Hard","completed","cpu_render_thread_ms",1170,0,,,,
0,"2K_Hard","completed","gc_allocated_in_editor_frame_bytes",1170,1170,14475,46879,14475,1181695780
0,"2K_Hard","completed","VSM.LayoutRemap_gpu_ms",1170,1170,0.001024,0.002816,0,0.177152
0,"2K_Hard","completed","VSM.Allocate_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.InvalidateStatic_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.ClearPhysicalPages_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.StaticCasterCull_gpu_ms",1170,1170,0.08294399999999999,0.087808,0,0.406016
0,"2K_Hard","completed","VSM.DynamicCasterCull_gpu_ms",1170,1170,0,0.000256,0,0.000256
0,"2K_Hard","completed","VSM.PageCull_gpu_ms",1170,1170,0.064767999999999992,0.068096,0,0.387584
0,"2K_Hard","completed","VSM.StaticRaster_gpu_ms",1170,1170,0.007424,0.010239999999999999,0,0.255232
0,"2K_Hard","completed","VSM.DynamicRaster_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.UnityCompatibilityRaster_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.FinalizePages_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.ResetFeedback_gpu_ms",1170,0,,,,
0,"2K_Hard","completed","VSM.ResolveAndFeedback_gpu_ms",1170,1170,1.126528,1.410048,0,1.71648
1,"2K_PCF","completed","frame_interval_ms",2040,2040,4.810048034414649,5.2462019957602024,3.9133005775511265,39.320897310972214
1,"2K_PCF","completed","cpu_frame_ms",2040,2040,4.80675,5.5824,3.025,41.6125
1,"2K_PCF","completed","gpu_frame_ms",2040,2037,4.76416,5.100288,0.041984,5.637888
1,"2K_PCF","completed","cpu_render_thread_ms",2040,2040,1.885,2.3579,0.9703,4.7337
1,"2K_PCF","completed","gc_allocated_in_editor_frame_bytes",2040,2040,14475,32046,14475,607518
