case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
2,"4K_Hard","completed","frame_interval_ms",1424,1424,6.9805486127734184,7.5740008614957333,5.0885984674096107,39.310500025749207
2,"4K_Hard","completed","cpu_frame_ms",1424,1424,6.9325,8.1029,4.2194,40.8161
2,"4K_Hard","completed","gpu_frame_ms",1424,1423,6.934784,7.42912,0.034048,8.33024
2,"4K_Hard","completed","cpu_render_thread_ms",1424,1424,2.7672,3.2928,0.5521,7.6861
2,"4K_Hard","completed","gc_allocated_in_editor_frame_bytes",1424,1424,14555,28208,14555,82152
2,"4K_Hard","completed","VSM.LayoutRemap_gpu_ms",1424,1424,0.001024,0.0012799999999999999,0.000768,0.258304
2,"4K_Hard","completed","VSM.Allocate_gpu_ms",1424,1424,3.2350719999999997,3.292672,3.080192,3.303168
2,"4K_Hard","completed","VSM.InvalidateStatic_gpu_ms",1424,0,,,,
2,"4K_Hard","completed","VSM.ClearPhysicalPages_gpu_ms",1424,1424,0.03456,0.040704,0.032512,0.33894399999999997
2,"4K_Hard","completed","VSM.StaticCasterCull_gpu_ms",1424,1424,0.15872,0.166656,0.14540799999999998,0.456704
2,"4K_Hard","completed","VSM.DynamicCasterCull_gpu_ms",1424,1424,0,0.000256,0,0.000256
2,"4K_Hard","completed","VSM.PageCull_gpu_ms",1424,1424,0.137984,0.144896,0.12595199999999998,0.41728
2,"4K_Hard","completed","VSM.StaticRaster_gpu_ms",1424,1424,0.0070399999999999994,0.010239999999999999,0.003072,0.013312
2,"4K_Hard","completed","VSM.DynamicRaster_gpu_ms",1424,1424,0.011264,0.012032,0.009472,0.20812799999999998
2,"4K_Hard","completed","VSM.UnityCompatibilityRaster_gpu_ms",1424,0,,,,
2,"4K_Hard","completed","VSM.FinalizePages_gpu_ms",1424,1424,0.002304,0.002816,0.002048,0.004352
2,"4K_Hard","completed","VSM.ResetFeedback_gpu_ms",1424,0,,,,
2,"4K_Hard","completed","VSM.ResolveAndFeedback_gpu_ms",1424,1424,1.084416,1.372928,1.0611199999999998,1.7720319999999998
