observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms"
13986,101.55694970238095,19072900008429,1,19.489102065563202,20.9312,19.8336,3.7439,14555,0.001024,16.267775999999998,,0.03584,0.362496,0.000256,0.34176,0.003328,0.010239999999999999,,0.0025599999999999998,,1.027072
13987,101.57674039824262,19072900217741,1,19.790695980191231,19.083,19.49184,4.108,14555,0.001024,16.105472,,0.034304,0.35456,0,0.33433599999999997,0.008704,0.010752,,0.002304,,1.02656
13988,101.59662719671202,19072900408571,1,19.886799156665802,21.1069,19.608832,3.8039,98743,0.001024,16.218111999999998,,0.034048,0.336128,0,0.315392,0.009984,0.011007999999999999,,0.0025599999999999998,,1.03168
13989,101.61585260062358,19072900619640,1,19.225403666496277,18.7347,19.917312,4.5698,14757,0.004352,16.328447999999998,,0.039168,0.35609599999999997,0,0.33408,0.007936,0.010496,,0.0025599999999999998,,1.028608
13990,101.63547840136054,19072900806987,1,19.625801593065262,20.2614,19.324672,1.02,14555,0.001024,15.905792,,0.034304,0.37504,0,0.355072,0.009216,0.011519999999999999,,0.0025599999999999998,,1.02656
13991,101.65546070011338,19072901009601,1,19.982298836112022,21.4692,0.044544,2.9875,14555,0.001024,15.897599999999999,,0.035072,0.338176,0.000256,0.317952,0.011007999999999999,0.011776,,0.002816,,1.025792
13992,101.67496549744898,19072901224293,1,19.504796713590622,15.606,19.893504,3.0964,14750,0.001024,16.263168,,0.043519999999999996,0.367616,0,0.34687999999999997,0.0076799999999999993,0.011264,,0.0025599999999999998,,1.028864
13993,101.69438129960317,19072901380353,1,19.415801391005516,19.7003,19.487744,4.4682,14555,0.001024,15.89888,,0.035328,0.334592,0,0.31513599999999997,0.007424,0.010496,,0.002304,,1.027328
13994,101.71406400226756,19072901577356,1,19.682703539729118,20.0386,19.488512,2.5824,14809,0.001024,16.101888,,0.034048,0.359168,0,0.33894399999999997,0.0084479999999999989,0.012288,,0.0025599999999999998,,1.027072
13995,101.73358270266439,19072901777742,1,19.518699496984482,18.885,19.641344,2.6503,14555,0.0012799999999999999,16.26368,,0.034048,0.34431999999999996,0,0.324864,0.012032,0.012032,,0.0025599999999999998,,1.0245119999999999
13996,101.75325449971655,19072901966592,1,19.671797752380371,19.0446,19.417856,2.8443,14555,0.001024,15.854336,,0.034048,0.52889599999999992,0.000256,0.346112,0.010496,0.009984,,0.0025599999999999998,,1.028864
13997,101.77304919926303,19072902157038,1,19.794698804616928,20.2645,19.745024,3.0692,14555,0.001024,16.334336,,0.034304,0.377088,0.000256,0.35686399999999996,0.008192,0.010496,,0.0025599999999999998,,1.027072
13998,101.7926878968254,19072902359683,1,19.638696685433388,19.8818,19.70432,2.9145,14555,0.001024,16.093439999999998,,0.040704,0.37452799999999997,0,0.354048,0.007424,0.010496,,0.0025599999999999998,,1.025536
13999,101.81243990221088,19072902558501,1,19.752005115151405,19.0449,19.703552,2.6614,14757,0.001024,16.1088,,0.039424,0.33792,0,0.31846399999999997,0.007424,0.010752,,0.0025599999999999998,,1.032448
14000,101.83193249716552,19072902748950,1,19.49259452521801,19.1307,19.722496,2.9173,14750,0.001024,16.270336,,0.034304,0.371456,0,0.352,0.008192,0.011776,,0.0025599999999999998,,1.025792
14001,101.85215989937642,19072902940257,1,20.227402448654175,20.2775,19.470592,2.8095,100045,0.001024,15.897343999999999,,0.034816,0.34227199999999997,0.000256,0.32128,0.011007999999999999,0.010239999999999999,,0.0025599999999999998,,1.024768
14002,101.87208370181405,19072903143032,1,19.923802465200424,19.488,20.217088,3.0076,14555,0.001024,16.334592,,0.035072,0.358656,0,0.33766399999999996,0.007936,0.011519999999999999,,0.0025599999999999998,,1.028352
14003,101.89311119614511,19072903337912,1,21.027494221925735,19.2777,19.891456,0.6972,14555,0.001024,16.115712,,0.039424,0.366336,0,0.346112,0.007424,0.011007999999999999,,0.003072,,1.024256
14004,101.91342169784581,19072903530689,1,20.310502499341965,22.3397,0.046336,2.8774,14757,0.001024,16.318208,,0.035328,0.36991999999999997,0.000256,0.35072,0.0076799999999999993,0.011007999999999999,,0.003072,,1.030656
14005,101.9333128968254,19072903754086,1,19.891198724508286,18.8763,20.292096,2.789,14607,0.001024,16.101119999999998,,0.041215999999999996,0.358656,0,0.336896,0.0076799999999999993,0.011519999999999999,,0.002816,,1.190912
14006,101.95348959750567,19072903942849,1,20.176701247692108,20.7037,19.873024,3.1524,14555,0.001024,15.847168,,0.039424,0.343296,0.000256,0.323328,0.004352,0.010496,,0.003072,,1.200896
