case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
1,"4K_Hard_Manual_R1","completed_with_warnings","frame_interval_ms",685,685,21.940497681498528,24.66609887778759,17.530696466565132,27.336196973919868
1,"4K_Hard_Manual_R1","completed_with_warnings","cpu_frame_ms",685,685,21.913,24.8954,16.8482,27.5058
1,"4K_Hard_Manual_R1","completed_with_warnings","gpu_frame_ms",685,685,21.870592,24.613632,17.502464,27.329792
1,"4K_Hard_Manual_R1","completed_with_warnings","cpu_render_thread_ms",685,685,2.2655,2.9761,1.9198,9.8442
1,"4K_Hard_Manual_R1","completed_with_warnings","gc_allocated_in_editor_frame_bytes",685,685,16753,53587,16753,249365
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.LayoutRemap_gpu_ms",685,685,0.001024,0.0012799999999999999,0.001024,0.198656
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.Allocate_gpu_ms",685,685,4.259328,4.373504,3.907072,4.383744
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",685,0,,,,
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",685,685,0.041728,0.666624,0.033791999999999996,1.319168
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",685,685,0.15795199999999998,0.1664,0.150784,1.1776
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",685,685,0,0.000256,0,0.0063999999999999994
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.PageCull_gpu_ms",685,685,0.137728,0.14438399999999998,0.131328,1.157376
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.StaticRaster_gpu_ms",685,685,0.007424,0.009984,0.003072,0.386048
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.DynamicRaster_gpu_ms",685,685,0.009984,0.011519999999999999,0,0.016384
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",685,0,,,,
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.FinalizePages_gpu_ms",685,685,0.004608,0.005888,0.003328,0.018175999999999998
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.ResetFeedback_gpu_ms",685,0,,,,
1,"4K_Hard_Manual_R1","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",685,685,6.876672,8.69632,5.017088,9.881344
