observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
12613,313.18085320294784,277534811384,1,7.9609975218772888,8.6072,7.88352,1.9923,15899,0.001024,3.17696,,0.039424,0.16358399999999998,0.000256,0.14464,0.0076799999999999993,0.0097279999999999988,,0.003584,,1.746176,12613,9751,549,5.8598029999998289
12614,313.18943500566894,277534897456,1,8.5818031802773476,7.7006,7.938816,1.9066,16387,0.001024,3.1080959999999997,,0.037888,0.154112,0.000256,0.134656,0.007936,0.010239999999999999,,0.005632,,1.7484799999999998,12614,9752,549,5.8685172000000421
12615,313.19752869897957,277534974462,1,8.0936932936310768,7.7962,8.553216,2.0961,16094,0.001024,3.1879679999999997,,0.037632,0.162304,0.000256,0.144128,0.009472,0.009472,,0.0051199999999999996,,2.0654079999999997,12615,9753,549,5.8765122999998312
12616,313.20606110402491,277535052424,1,8.532404899597168,7.8629,8.089344,2.1144,22316,0.001024,3.2985599999999997,,0.035072,0.155904,0.000256,0.136192,0.0076799999999999993,0.010496,,0.0051199999999999996,,1.74592,12616,9754,549,5.8851537000000462
12617,313.21363730158731,277535131053,1,7.5761973857879639,8.9541,8.498432,1.9865,15899,0.001024,3.2345599999999997,,0.039424,0.163072,0,0.14310399999999998,0.006912,0.010752,,0.005376,,2.822656,12617,9755,549,5.8926305999998476
12618,313.222833404195,277535220594,1,9.1961026191711426,7.7759,7.562496,1.9355,22316,0.001024,3.237888,,0.039168,0.150272,0,0.131072,0.0076799999999999993,0.0097279999999999988,,0.0048639999999999994,,1.7489919999999999,12618,9756,549,5.90163050000001
12619,313.2303525014172,277535298353,1,7.5190970674157143,8.5982,9.176832,1.97,15899,0.001024,3.2537599999999998,,0.039936,0.151552,0,0.13312,0.007936,0.009984,,0.0048639999999999994,,2.605056,12619,9757,549,5.9090919999998732
12620,313.2389693027211,277535384335,1,8.6168013513088226,7.601,7.50208,1.9054,16387,0.001024,3.2048639999999997,,0.036351999999999995,0.158464,0,0.138752,0.0076799999999999993,0.009472,,0.004352,,1.7469439999999998,12620,9758,549,5.9177548000002389
12621,313.24652820294784,277535460345,1,7.5589003972709179,9.1205,8.603392,1.8754,68774,0.001024,3.199232,,0.296192,0.166656,0,0.14079999999999998,0.0076799999999999993,0.009472,,0.0048639999999999994,,1.7484799999999998,12621,9759,549,5.9257135000002563
12622,313.25564829931972,277535551550,1,9.1200964525341988,7.414,7.524864,1.8402,16439,0.0012799999999999999,3.183872,,0.040448,0.163072,0,0.143872,0.004096,0.010496,,0.004352,,1.747968,12622,9760,549,5.9343454999998357
12623,313.26415260062356,277535625690,1,8.5043013095855713,8.7395,9.106432,1.9896,29205,0.001024,3.2460799999999996,,0.039936,0.15564799999999998,0,0.13516799999999998,0.0076799999999999993,0.010752,,0.004352,,2.193152,12623,9761,549,5.9429709999999432
12624,313.27155510204079,277535713085,1,7.4025015346705914,7.8832,8.493056,1.8416,16387,0.001024,3.175424,,0.222464,0.164608,0,0.145152,0.0084479999999999989,0.0084479999999999989,,0.005632,,2.142208,12624,9762,549,5.9509106999998949
12625,313.279834502551,277535791917,1,8.2794008776545525,8.7064,7.379456,1.8772,15899,0.001024,3.297792,,0.038911999999999995,0.158976,0,0.140288,0.007936,0.009984,,0.0051199999999999996,,1.7489919999999999,12625,9763,549,5.9585523000000649
